word,lemma,definition,part_of_speech,frequency,grammatical_info
et,et,and,Conjunction,4,
si,si,"if, supposing that",Conjunction,4,
nec,nec,nor,Adverb,3,
me,me,"me, myself; accusative singular of ego",Pronoun,3,
ad,ad,"toward, to",Preposition,2,
de,de,of; concerning; about,Preposition,2,
est,est,third-person singular present active indicative of sum,Verb,2,
nunc,nunc,"right now, at present, at this time, at this very moment",Adverb,2,
sub,sub,"under, beneath
behind
at the feet of
within, during
about, around (time); just before, just after, shortly before, shortly after",Preposition,2,
seu,seu,or,Conjunction,2,
maecenas,maecenas,,Proper noun,1,
atavis,atavis,dative/ablative plural of atavus,Noun,1,
edite,edite,second-person plural present active imperative of edō,Verb,1,
regibus,regibus,dative/ablative plural of rēx,Noun,1,
o,o,"A letter of the Latin alphabet, written in the Latin script.",Letter,1,
praesidium,praesidium,"defence, protection, guardianship",Noun,1,
dulce,dulce,nominative/accusative/vocative neuter singular of dulcis,Adjective,1,
decus,decus,"honor, distinction, glory",Noun,1,
meum,meum,"inflection of meus:
nominative/accusative/vocative neuter singular
accusative masculine singular",Determiner,1,
sunt,sunt,third-person plural present active indicative of sum,Verb,1,
quos,quos,accusative masculine plural of quī,Pronoun,1,
curriculo,curriculo,dative/ablative singular of curriculum,Noun,1,
pulverem,pulverem,accusative singular of pulvis (“dust”),Noun,1,
olympicum,olympicum,,,1,
collegisse,collegisse,perfect active infinitive of colligō,Verb,1,
iuvat,iuvat,third-person singular present active indicative of iuvō,Verb,1,
metaque,metaque,,,1,
fervidis,fervidis,dative/ablative masculine/feminine/neuter plural of fervidus,Adjective,1,
evitata,evitata,"inflection of ēvītātus:
nominative/vocative feminine singular
nominative/accusative/vocative neuter plural",Participle,1,
rotis,rotis,dative/ablative plural of rota,Noun,1,
palmaque,palmaque,,,1,
nobilis,nobilis,"noble, high-born",Adjective,1,
5,5,,,1,
terrarum,terrarum,genitive plural of terra,Noun,1,
dominos,dominos,accusative plural of dominus,Noun,1,
evehit,evehit,third-person singular present active indicative of ēvehō,Verb,1,
deos,deos,"accusative plural of deus (“god, deity”)",Noun,1,
hunc,hunc,accusative masculine singular of hic (“this; here”),Pronoun,1,
mobilium,mobilium,genitive masculine/feminine/neuter plural of mōbilis,Adjective,1,
turba,turba,"turmoil, disorder, stir, disturbance, tumult, uproar, hubbub, commotion, trouble, confusion, disarray, brawl",Noun,1,
quiritium,quiritium,,,1,
certat,certat,third-person singular present active indicative of certō,Verb,1,
tergeminis,tergeminis,,,1,
tollere,tollere,second-person singular future passive indicative of tollō,Verb,1,
honoribus,honoribus,dative/ablative plural of honor,Noun,1,
illum,illum,accusative masculine singular of ille,Determiner,1,
proprio,proprio,to appropriate,Verb,1,
condidit,condidit,third-person singular perfect active indicative of condō,Verb,1,
horreo,horreo,"to stand erect, stand on end",Verb,1,
quicquid,quicquid,alternative spelling of quidquid; whatever,Pronoun,1,
libycis,libycis,dative/ablative masculine/feminine/neuter plural of libycus,Adjective,1,
verritur,verritur,third-person singular present passive indicative of verrō,Verb,1,
areis,areis,dative/ablative plural of ārea,Noun,1,
10,10,,,1,
gaudentem,gaudentem,accusative masculine/feminine singular of gaudēns,Participle,1,
patrios,patrios,accusative masculine plural of patrius,Adjective,1,
